"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast","bn.score","arcStr","parentCount"
"151",2,13,70,139,226,265,280,522,30,4,0.0106092674900862,0.0616737475761713,1.77007530712611,-9196.18914434287,-362.094468972519,3
"152",2,4,40,134,381,590,593,649,30,4,0.0234009753283448,0.0415820537901157,1.79081814187987,-6712.56454289274,-330.842864862658,3
"153",2,80,125,288,293,326,529,537,30,4,0.0286690830111231,0.0896962464233215,1.72737241934487,-9386.30384283158,-370.935632252522,3
"154",2,255,280,363,415,548,691,747,30,2,0.0365108244910832,0.0265012532895299,1.83429624828679,-8364.84397826637,-373.295096488289,2
"155",2,5,88,92,191,483,533,556,30,4,0.0460716208721512,0.0146209156939241,1.8029510403254,-7164.81351074695,-371.191735732238,2
"156",2,26,216,469,739,787,803,812,30,4,0.0511824407157708,0.00985131631210456,1.83381359428759,-8817.69597139155,-220.188073891336,2
"157",2,65,235,283,463,525,615,774,30,4,0.0591276635583258,0.014435295928922,1.79920166489362,-9537.21145792552,-363.702109002398,1
"158",2,88,188,229,330,445,454,650,30,3,0.0591276635583258,0.014435295928922,1.79920166489362,-9386.96158053585,-363.702109002398,1
"159",2,222,296,501,615,724,758,855,30,4,0.0687240212656466,0.0193252460294335,1.78768443630419,-7731.50077845511,-349.896518536719,3
"160",2,110,145,178,305,314,515,624,30,3,0.0948514796245856,0.0218832321990439,1.83504627313929,-8971.67393427727,-378.552073307983,2
"161",6,23,41,114,132,135,137,413,30,4,0.517200082992984,0.48893775860059,1.23215266274956,-8561.26369384223,-163.911938791993,3
"162",2,41,91,141,305,467,529,759,29,2,0.0299312029907328,0.0451168298020528,1.7424766097842,-6382.29748572247,-331.641300564206,3
"163",2,156,313,329,368,382,534,747,29,2,0.0365108244910832,0.0265012532895299,1.83429624828679,-9393.71714208092,-373.295096488289,2
"164",2,47,115,117,230,237,348,666,29,3,0.0368517133720307,0.039549131424149,1.73789463666391,-7652.50669432301,-296.536394985128,3
"165",2,3,124,132,240,325,567,668,29,2,0.0410963182794888,0.0175568369612003,1.78700685453238,-10810.2615681377,-345.770755505281,2
"166",2,107,202,276,365,366,578,846,29,4,0.0572717690203477,0.0146596667705012,1.77883688046921,-8612.3395167524,-324.315588728205,3
"167",2,159,231,301,315,409,439,633,29,4,0.0591276635583258,0.014435295928922,1.79920166489362,-9385.84446357589,-363.702109002398,1
"168",2,38,41,191,306,566,751,831,29,4,0.0591276635583258,0.014435295928922,1.79920166489362,-7357.88211726922,-363.702109002398,1
"169",2,198,271,407,423,435,543,605,29,5,0.0592266382726283,0.0112072732171182,1.79955170800715,-9377.24464143066,-313.99550012906,2
"170",2,21,23,135,137,732,821,850,29,4,0.0596647327241637,0.0537450786333,1.86475220628338,-8851.70499572487,-383.078332697079,2
"171",2,75,234,273,301,431,565,567,29,4,0.065493496574351,0.00546723560583096,1.81976253996942,-11992.5250313243,-364.111025264074,2
"172",2,277,278,377,525,572,696,794,29,4,0.0705542108403365,0.0476212728924092,1.79201094286866,-9357.42004919879,-274.361810091357,3
"173",2,220,248,319,483,660,820,842,29,4,0.0905053642463203,0.0135366062353921,1.80022345610531,-7557.49680684859,-374.306208328781,2
"174",2,47,56,149,249,343,670,813,29,3,0.0927984999560507,0.0018272669434003,1.81204844017065,-7510.57087020535,-312.296625693368,2
"175",2,95,103,193,244,592,796,819,29,3,0.137878714918241,0.09014482572518,1.90692502649314,-6453.39905850412,-320.229090270322,3
"176",65,147,346,609,610,665,711,845,29,3,0.53010271775497,0.690825514835148,1.04558469145142,-7770.07442878527,-271.281138387051,3
"177",2,45,82,191,312,357,367,807,28,2,0.0153580841788064,0.06269187725615,1.76794504195599,-7439.10555837358,-359.402581155626,3
"178",2,45,312,357,382,561,606,815,28,2,0.0153580841788064,0.06269187725615,1.76794504195599,-10966.1510854451,-359.402581155626,3
"179",2,68,71,142,202,456,638,679,28,3,0.0163417328197577,0.084061655840965,1.74733100062627,-8114.46504831014,-334.207319493587,3
"180",2,51,301,388,545,670,705,709,28,2,0.0227615515539572,0.0925275462083772,1.72992817589232,-10143.9347136829,-367.095421085287,2
"181",2,50,188,315,582,584,719,737,28,3,0.0468726965391242,0.00890816744436029,1.85733413471334,-8614.03857267838,-366.446534824141,3
"182",2,270,281,411,478,619,752,817,28,2,0.0524167478606947,0.0166723470003707,1.78711581786784,-8234.70952757656,-366.190628195531,2
"183",2,212,226,537,638,743,750,837,28,4,0.0586957226619658,0.00815623999072246,1.79723543404972,-9212.33879353891,-349.398883980255,2
"184",2,26,469,666,770,787,803,812,28,3,0.0591276635583258,0.014435295928922,1.79920166489362,-9212.00398326635,-363.702109002398,1
"185",2,8,103,231,365,454,508,756,28,5,0.11354724925612,0.0192819938520434,1.84415158208466,-7761.21750856061,-294.799116329457,3
"186",270,281,374,391,411,478,752,817,28,2,0.570003194148132,0.748627136830077,2.46600084055011,-11090.8536720843,-65.6240767268877,3
"187",2,114,160,188,208,538,702,736,27,4,0.00610609032248277,0.0336497002866223,1.75258427845617,-11620.8525043238,-283.357546012922,3
"188",2,88,92,191,381,533,556,731,27,3,0.0460716208721512,0.0146209156939241,1.8029510403254,-8096.05201687954,-371.191735732238,2
"189",2,42,69,261,322,426,650,797,27,3,0.0560705519146947,0.0171412225442358,1.79987066428663,-8969.09612087306,-370.686276517599,2
