"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast"
"1954",371,462,474,525,528,540,626,811,50,5,0.339493534041385,0.2298521964058,3.82823866398344
"1955",20,34,103,120,205,294,739,840,32,2,0.341795416810312,0.400641308924713,4.03093725872649
"1956",26,392,424,572,589,619,648,736,45,4,0.341999149076283,0.264438930007921,2.55585524262614
"1957",27,135,429,518,581,605,709,802,44,4,0.342600488690414,0.272460930703328,3.91555156460378
"1958",241,289,307,405,528,583,627,722,42,4,0.34295140118671,0.156585554870146,3.75662670331519
"1959",16,56,507,572,617,622,777,840,45,3,0.343064276495369,0.394950078956918,3.2718611338235
"1960",259,275,607,608,626,686,736,746,44,6,0.343267985755189,0.453221896706944,3.16714788622894
"1961",14,55,64,317,342,403,641,643,44,2,0.343485457617926,0.161210214876158,3.68143779966539
"1962",143,203,205,462,465,626,701,730,52,4,0.34467537875169,0.383118099316326,3.93172162703375
"1963",221,299,395,491,583,710,787,840,38,2,0.344693657163766,0.375568567801335,3.13021420411654
"1964",225,252,281,429,668,698,726,767,54,6,0.344911767544516,0.251817173184026,3.83774829684267
"1965",15,99,619,667,698,776,830,832,38,4,0.347673646559126,0.258643480005672,3.81895160583529
"1966",344,403,427,572,619,664,703,771,45,3,0.3482200141451,0.311341527643948,3.97482304885461
"1967",30,214,278,295,501,660,767,840,48,3,0.348304042979342,0.298824152603805,3.92698152244607
"1968",19,287,376,412,497,740,804,817,50,5,0.348544588124685,0.138217116334602,3.54908271076912
"1969",90,136,188,325,547,651,684,790,62,3,0.34942785947761,0.401124286072094,2.90034750542504
"1970",213,215,278,366,454,620,735,765,45,3,0.349891275159168,0.262817551137086,3.68316725542607
"1971",20,45,121,201,563,595,626,738,39,4,0.350990721838742,0.470280721858336,3.11099476430493
"1972",11,53,60,79,139,285,815,840,54,3,0.351227321528319,0.110757069997468,3.81302891951253
"1973",103,229,329,348,386,505,840,854,44,4,0.351325447749168,0.389457595338778,3.22213452423749
"1974",26,27,183,289,296,310,405,815,51,4,0.351385221405646,0.183098729608684,3.7046382638948
"1975",28,205,348,422,423,548,729,841,61,3,0.351594044519834,0.507285401703781,3.00830923303453
"1976",114,146,175,198,205,240,398,495,42,2,0.351977855779607,0.076035465262803,5.96098962463914
"1977",152,233,330,335,590,619,664,742,48,5,0.352590553939066,0.138438456227266,3.87426055072519
"1978",9,179,338,512,619,739,771,789,57,4,0.353304149656123,0.360880074639992,3.99664887950627
"1979",37,87,184,210,381,606,629,802,53,3,0.353438946205316,0.546283284440102,3.83448257086292
"1980",177,191,219,402,404,464,750,794,52,5,0.3535299454748,0.0600793065197904,3.3960594658325
"1981",68,132,146,270,288,412,495,536,47,5,0.354020086440439,0.306596015897817,3.73660571620756
"1982",99,257,294,415,481,666,785,853,40,3,0.354994880340072,0.612631773552521,2.95605707961483
"1983",45,218,229,239,479,522,840,847,53,4,0.355182548930822,0.414793060077046,3.21381600281229
"1984",69,127,130,302,348,350,646,840,47,4,0.35660620024766,0.353904180385078,3.28256635209501
"1985",201,376,567,649,730,733,794,835,52,4,0.356744118643807,0.485898368652348,3.22178708108224
"1986",199,301,405,424,428,499,546,735,49,3,0.357542271073323,0.301630016076193,2.00395371668758
"1987",27,201,429,509,558,567,731,800,48,2,0.358244285886667,0.251787397312278,3.85458330684517
"1988",14,62,161,192,215,467,503,767,36,3,0.359081494951924,0.186305016009842,3.61858411977833
"1989",5,118,206,227,281,429,741,804,46,3,0.359364108204105,0.247641206026094,3.12988266385761
"1990",4,153,212,363,365,467,578,619,56,4,0.3600011357298,0.270778383506165,3.77852125902025
"1991",131,194,201,401,479,547,787,853,48,2,0.360568418641221,0.0952522658687118,3.8642662350642
"1992",111,199,366,450,502,619,642,806,37,3,0.361099985289203,0.171634494166616,3.41366457240516
"1993",3,151,201,248,353,548,637,826,56,5,0.36201454266693,0.746487648510305,2.88490617174167
"1994",112,181,342,375,472,513,626,638,30,3,0.362198036128087,0.396435687060629,3.17390462727259
"1995",1,65,69,146,160,572,682,708,38,2,0.362835728021326,0.0530401128984703,3.64665750048552
"1996",79,150,265,268,390,490,732,833,57,4,0.363064637211928,0.156621733149192,3.92706288766902
"1997",36,366,412,425,532,609,701,716,39,4,0.363743071702992,0.165027909524155,3.56378358314619
"1998",198,368,403,404,587,603,740,778,45,2,0.363971641211867,0.100749861785987,3.75242249337046
"1999",56,157,314,463,619,645,735,742,54,6,0.36605882917447,0.271941825479212,-8.81356268448497
"2000",51,159,203,244,337,370,619,672,46,4,0.36639307997215,0.681743055854739,4.26285804518441
"2001",83,253,271,424,675,758,829,833,50,2,0.366559672857178,0.261823687909393,1.83589517626268
"2002",85,120,272,314,351,431,619,797,50,2,0.366566276428771,0.0892748256597327,3.7006694385523
"2003",187,199,264,398,559,737,777,840,48,2,0.36665686273327,0.377842371099363,3.26651709308251
"2004",15,169,268,278,367,429,515,709,48,3,0.366983408725141,0.307472921468359,3.93042008407832
"2005",264,300,349,415,539,684,717,780,52,5,0.367688280302192,0.452442210277105,2.9206652813403
"2006",83,86,161,482,619,735,740,851,45,6,0.367982118695114,0.456994278566963,4.03388882773458
"2007",46,185,201,462,498,593,698,819,44,4,0.368150938636745,0.697264836805778,2.89751787363079
"2008",55,257,279,401,577,592,698,840,40,4,0.36835833172165,0.388447906243603,3.26235557934911
"2009",137,264,315,405,417,500,553,615,57,2,0.369055088405011,0.275765837067384,3.82388532156198
"2010",71,111,145,191,415,495,637,773,58,4,0.369644111674726,0.184992508056507,3.75822324980229
"2011",118,387,515,540,608,752,788,833,36,3,0.369924737826898,0.315343213225439,3.89899264745788
"2012",51,169,179,191,210,425,582,836,49,3,0.370269793763228,2.21434286470189,1.372248106785
"2013",259,266,357,451,542,560,619,661,54,4,0.370507954424277,0.354018562289336,3.88536367982206
"2014",298,341,369,515,619,665,668,672,51,6,0.370581857456017,0.175241423645879,3.70558341290905
"2015",10,133,201,224,338,507,619,798,48,6,0.371693832670408,0.23918946352126,3.83918946352126
"2016",255,447,551,580,619,711,746,832,49,5,0.37234236790648,0.0037804641297301,3.81050507660493
"2017",283,364,412,462,573,581,642,802,37,3,0.373365833969685,0.37942496241597,3.76419226744842
"2018",75,135,262,284,563,584,684,827,54,6,0.373465744708563,0.30934458738387,4.44054184042593
"2019",46,254,369,456,755,788,820,833,45,3,0.373597535129296,0.365504755081749,3.96391249937236
"2020",62,492,569,580,592,619,628,692,49,4,0.374725811840553,0.0366804280131459,3.94707285743558
"2021",297,415,526,560,633,740,801,815,42,3,0.375376722464935,0.766199765129036,3.03755372687505
"2022",8,46,114,405,486,537,541,697,60,3,0.375907571330232,0.250867639872075,3.72081616679132
"2023",42,160,218,262,580,658,689,704,50,4,0.376658631117042,0.0774986805021478,3.99899133114554
"2024",107,233,240,324,366,375,665,684,45,5,0.377086992166344,0.149818933958669,3.30605776838976
"2025",14,144,216,303,349,357,429,484,40,3,0.377672288322827,0.163577901057212,3.70541790482523
"2026",27,32,52,83,337,517,626,777,52,3,0.377870874964023,0.427743742459183,3.14168210693499
"2027",14,63,113,253,300,412,540,671,49,3,0.378776554685977,0.198306352005096,3.5930828134668
"2028",5,146,152,357,405,417,679,844,52,2,0.379121327890759,0.287558120901997,4.6634720105637
"2029",70,152,178,191,557,578,696,741,46,6,0.379658490005144,0.275257102312373,3.82938132570628
"2030",25,81,96,215,311,416,423,746,49,2,0.380442313976944,0.267505893314681,3.6878990875119
"2031",160,302,394,405,547,602,654,693,33,3,0.380697386353435,0.403576089136406,3.97313489627956
"2032",34,132,150,370,412,567,625,719,60,5,0.381748600769603,0.259341738648262,3.71660432407863
"2033",117,214,333,584,664,684,699,743,40,2,0.38252355836587,0.349793271915832,4.24130893339739
"2034",144,279,299,540,590,643,703,709,47,4,0.382673017240676,0.414244838635756,2.88456613953443
"2035",307,415,477,482,537,566,602,730,44,5,0.382704012901288,0.841800146438541,2.9833818684774
"2036",42,180,218,244,262,316,635,712,38,3,0.383368732888952,0.377940780704779,3.4554462980978
"2037",103,109,349,354,575,660,739,840,48,3,0.383782520755747,0.409894069732557,3.20159942848269
"2038",4,114,354,447,634,798,833,845,50,3,0.384648039983795,0.311658338741813,3.9391636470362
"2039",65,191,233,258,343,694,702,831,42,5,0.384793773920736,0.228787770795318,3.83056166200696
"2040",115,152,432,490,619,699,755,768,58,4,0.385854628030939,0.323996127645618,3.89652466085317
"2041",36,231,398,458,466,478,619,849,52,3,0.386128143097137,0.303983557473531,3.98711376542424
"2042",110,142,313,484,515,626,724,825,38,5,0.386562604788692,0.390505567455518,4.00187923287861
"2043",495,518,587,619,685,700,783,837,46,4,0.38788044593482,0.318496087698978,3.82123848846606
"2044",60,266,280,313,489,580,619,622,42,5,0.388083559230414,0.153959724881232,3.7892933583092
"2045",23,148,162,296,643,690,723,850,48,5,0.388088096139989,0.481444033333732,4.07815760939117
"2046",48,142,218,405,490,584,623,852,56,5,0.38939486747788,0.297574210251222,4.23554749995954
"2047",64,221,368,528,654,760,820,843,51,4,0.389479189691741,0.46441397492226,3.93812282872965
"2048",399,429,458,536,598,661,804,830,48,4,0.389878635960232,0.285972006496321,3.89320967497476
"2049",112,191,276,319,499,578,662,666,43,4,0.390510198813764,0.270821623604008,3.92458530446769
"2050",11,120,128,189,419,431,619,756,44,2,0.392370510277107,0.264020386094888,3.8228206046272
"2051",269,407,415,601,644,731,774,779,50,2,0.392467549737932,0.800843240701408,2.67999366939893
"2052",113,301,429,483,490,557,590,762,59,5,0.395990397476823,0.314037206990532,3.92649228359755
"2053",132,158,191,370,419,420,463,650,53,4,0.396144606139854,0.566717100175149,4.14832272337355
"2054",40,81,318,429,448,538,579,710,44,2,0.396360603633502,0.316198466241369,3.87219319344149
"2055",81,106,161,176,218,481,619,798,28,2,0.39647110718466,0.29647110718466,3.86650714449818
"2056",162,429,452,455,495,514,769,836,46,5,0.397262252396997,0.327933573609335,3.91936328348359
"2057",44,93,324,435,483,728,812,840,46,5,0.399016757223822,0.360185541754817,-22.5776013271781
"2058",163,242,350,361,405,573,718,797,50,4,0.400328859992821,0.0582043519355113,3.544730083131
"2059",194,405,435,445,505,588,615,786,45,2,0.400505145028923,0.282677319421933,3.73804354641896
"2060",17,79,347,409,438,751,762,840,47,2,0.40053808514824,0.458396748184393,3.18320539452347
"2061",14,61,182,358,412,481,728,820,55,4,0.401442854821004,0.218910867240407,3.63396851809645
"2062",228,287,312,357,434,794,813,833,40,4,0.402817856810426,0.451674711347268,3.69901020565369
"2063",14,153,176,429,504,507,800,819,37,2,0.403774623384765,0.168911204299254,3.67637575994448
"2064",229,231,321,389,525,672,777,840,48,3,0.404812714437808,0.556083481000927,3.09891115302349
"2065",34,143,295,588,643,662,793,848,37,2,0.405005033242547,0.363715403327382,3.99063361643174
"2066",160,254,320,415,463,633,656,685,30,4,0.405035417565472,0.713167103212042,3.14830741307453
"2067",167,419,424,438,530,629,770,847,50,2,0.405097139997451,0.368157184855184,2.17576690563344
"2068",151,244,279,397,489,504,544,847,60,3,0.405457670536034,0.487997681626183,2.73618490966615
"2069",98,249,293,327,475,647,767,806,58,3,0.405498605220934,0.416605738527347,3.14214618279495
"2070",20,198,248,369,454,586,754,815,38,3,0.405904841623911,0.190300831236756,3.83063472732968
"2071",57,322,326,360,455,643,656,708,47,5,0.406963098525624,0.355862002569614,3.91132892124676
"2072",65,102,405,483,613,660,812,820,52,3,0.407037543503911,0.206229899178904,3.8187788495119
"2073",47,57,147,180,229,827,833,843,47,4,0.408988106695581,0.314817001927311,3.93845364767299
"2074",156,160,281,340,402,412,568,822,38,2,0.409297388802772,0.284358420521622,3.71133266417876
"2075",124,145,240,244,295,523,643,817,53,2,0.409796918496116,0.41932814414659,3.99429833886234
"2076",25,160,215,225,240,291,316,783,46,5,0.410355633225698,0.159733626202603,3.51375481735568
